Company,Article,Translation,Date,Negative,Neutral,Positive,Compound
Shell,Deze week begon er de aanleg van het zonnepark van Shell. De ombouw van het terrein van de voormalige gaszuiveringsinstallatie (GZI) in Emmen ...,This week began the construction of the solar park Shell. The reconstruction of the site of the former gas purification (GZI) in Emmen ...,2020-05-27T21:18:25Z,0.462,0.217,0.321,0.4804
Shell,Royal Dutch Shell (RDS) deint niet mee op de herstellende olieprijs. De vlagformatie suggereert verkoopruk bij deze Blue Chip. De prijs van een vat ...,Royal Dutch Shell (RDS) sways not count on recovering oil. Flag formation suggests verkoopruk at the Blue Chip. The price of a barrel ...,2020-05-27T21:18:25Z,0.407,0.304,0.289,-0.0296
Shell,Shell wil meer geld voor stopzetten Groningen. De compensatie voor het stopzetten van de gaswinning zorgt voor ontevredenheid bij Shell en ...,Shell wants more money to stop Groningen. The compensation for the discontinuation of the gas creates dissatisfaction with Shell and ...,2020-05-27T21:18:25Z,0.491,0.225,0.284,-0.5449
Shell,"Het gaat om Royal Dutch Shell (-0,6%), ASML (-0,6%), Unilever (-1,1%), Relx (-1,0%) en DSM (-1,9%). De strijd om een werkend coronavaccin. Dat we ...","It is Royal Dutch Shell (-0.6%), ASML (-0.6%), Unilever (-1.1%), relx (-1.0%) and DSM (-1.9%). The struggle for a working coronavirus vaccine. That we ...",2020-05-27T21:18:25Z,0.194,0.479,0.328,0.4459
Shell,Daarin is afgesproken dat Shell en ExxonMobil 90 miljoen euro zouden krijgen ter compensatie. Vorige week oordeelde de Algemene Rekenkamer nog ...,It was agreed that Shell and ExxonMobil would receive 90 million euros in compensation. Last week the Court ruled yet ...,2020-05-27T21:18:25Z,0.224,0.28300000000000003,0.493,0.5648
Shell,"... Formosa Plastics Group (FPG), Shell, EQUATE, Lotte Chemical, Lotte Chemical, SPDC, CNPC, Reliance Industries, OUCC, INEOS, LyondellBasell, ...","... Formosa Plastics Group (FPG), Shell, EQUATE, Lotte Chemical, Lotte Chemical, SPDC, CNPC, Reliance Industries, OUCC, INEOS, LyondellBasell, ...",2020-05-28T07:07:30Z,0.0,1.0,0.0,0.0
Shell,"... en topbedrijven SABIC, Chevron Phillips Chemical, Ineos, Shell, Idemitsu, Sasol, Exxonmobil Chemical, Linde, Evonik Industries, Dow Chemical.","... en topbedrijven SABIC, Chevron Phillips Chemical, Ineos, Shell, Idemitsu, Sasol, Exxonmobil Chemical, Linde, Evonik Industries, Dow Chemical.",2020-05-28T07:07:30Z,0.0,1.0,0.0,0.0
Shell,"Shell is er jaren geleden al mee gestopt: eerst tanken en dan likken voor de legendarische badhanddoek. Tony van der Meulen 28-05-20, 07:03 Bron: ...","Shell has been stopped years ago: first refueling and then lick the legendary towel. Tony van der Meulen 28-05-20, 07:03 Source: ...",2020-05-28T05:03:45Z,0.083,0.917,0.0,-0.2263
Shell,Deze week werd bekend dat Shell en Exxon met het ministerie van Financiën geen overeenkomst bereikten over compensatie. Nu komt er een ...,This week it was announced that Shell and Exxon with the Ministry of Finance did not reach agreement on compensation. Now comes a ...,2020-05-27T14:48:45Z,0.15,0.85,0.0,-0.4023
Shell,"Alexander Kops (PVV) vindt dat Shell en ExxonMobil ""alle schaamte voorbij zijn"". Bron: ANP. Trefwoorden. groningen aardbevingen groningen ...","Alexander Kops (PVV) finds that Shell and ExxonMobil 'any shame are over. "" Source: Reuters. Keywords. Groningen Groningen earthquakes ...",2020-05-27T14:37:30Z,0.147,0.853,0.0,-0.4767
Shell,"... over Mazut Markt met wereldwijde innovatie, concurrentieanalyse, nieuwe bedrijfsontwikkelingen en topbedrijven Royal Dutch / Shell Group, CNRL, ...","... on Fuel Oil Market in global innovation, competitive analysis, new business development and leading companies Royal Dutch / Shell Group, CNRL, ...",2020-05-27T13:40:51Z,0.0,0.823,0.177,0.5106
Shell,"... PBF Energy, Shell, British Petroleum, Koch, Motiva, Total, Statoil, Rosneft, Reliance, HPCL, Saudi Aramco en Koninklijke Nederlandse Shell.","... PBF Energy, Shell, British Petroleum, Koch, Motiva, Total, Statoil, Rosneft, Reliance, HPCL, Saudi Aramco and Royal Dutch Shell.",2020-05-28T15:22:30Z,0.121,0.666,0.213,0.2333
